nokia-state | /state/aaa/radius/statistics/coa/dropped/bad-authentication | yang:counter32
nokia-state | /state/aaa/radius/statistics/coa/dropped/missing-auth-policy | yang:counter32
nokia-state | /state/aaa/radius/statistics/coa/dropped/invalid | yang:counter32
nokia-state | /state/aaa/radius/statistics/coa/dropped/missing-resource | yang:counter32
nokia-state | /state/aaa/radius/statistics/coa/received | yang:counter32
nokia-state | /state/aaa/radius/statistics/coa/accepted | yang:counter32
nokia-state | /state/aaa/radius/statistics/coa/rejected | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/dropped/bad-authentication | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/dropped/missing-auth-policy | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/dropped/invalid | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/dropped/missing-resource | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/received | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/accepted | yang:counter32
nokia-state | /state/aaa/radius/statistics/disconnect-messages/rejected | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/tx-request/total-packets | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/tx-request/pending | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/tx-request/timeout | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/tx-request/failed | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/tx-request/failed-out-of-ids | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/rx-response/total-packets | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/rx-response/invalid-authenticator | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/rx-response/invalid-message-authenticator-attribute | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/accounting/average-delay/last-10-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/accounting/average-delay/last-100-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/accounting/average-delay/last-1000-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/accounting/average-delay/last-10000-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/accounting/failed | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/authentication/average-delay/last-10-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/authentication/average-delay/last-100-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/authentication/average-delay/last-1000-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/authentication/average-delay/last-10000-packets | yang:gauge32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/statistics/authentication/failed | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/oper-state | enumeration
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/out-of-service-time | types-sros:time-duration
nokia-state | /state/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/overload-time | types-sros:time-duration
nokia-state | /state/aaa/radius/server-policy[name=*]/acct-on-off/oper-state | enumeration
nokia-state | /state/aaa/radius/server-policy[name=*]/acct-on-off/session-id | types-sros:display-string-or-empty
nokia-state | /state/aaa/radius/server-policy[name=*]/acct-on-off/trigger | enumeration
nokia-state | /state/aaa/radius/server-policy[name=*]/acct-on-off/server-name | types-sros:named-item-or-empty
nokia-state | /state/aaa/radius/server-policy[name=*]/acct-on-off/retry-count | uint32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/buffered-messages/accounting-interim | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/buffered-messages/accounting-interim-drop | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/buffered-messages/accounting-stop | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/buffered-messages/accounting-stop-drop | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/buffered-messages/last-cleared | yang:date-and-time
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/buffered-messages/statistics-last-cleared | yang:date-and-time
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/tx-request | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/rx-response | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/request-timeout | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/request-send-fail | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/request-send-retry | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/request-rejected | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/accounting-fail | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/authentication-fail | yang:counter32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/access-reject-ratio | uint32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/failure-ratio | uint32
nokia-state | /state/aaa/radius/server-policy[name=*]/statistics/success-ratio | uint32
nokia-state | /state/aaa/radius/server-policy[name=*]/blocked-state | enumeration
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/last-access-reject-received | yang:date-and-time
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/last-access-accept-received | yang:date-and-time
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/last-access-request-sent | yang:date-and-time
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/last-access-request-retried | yang:date-and-time
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/remaining-time-before-next-download-attempt | types-sros:time-interval
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/remaining-time-before-next-download-retry | types-sros:time-interval
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/routes-received-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/access-reject-received-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/access-accept-received-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/access-accept-dropped-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/access-request-sent-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/access-request-retried-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/download-count | yang:counter32
nokia-state | /state/aaa/radius/route-downloader[name=*]/statistics/route-failed-to-install-count | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/accounting/rx-replies | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/accounting/tx-requests | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/accounting/tx-retries | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/accounting/tx-timeouts | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/authentication/rx-replies | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/authentication/tx-requests | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/authentication/tx-retries | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/authentication/tx-timeouts | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/statistics/dynamic-authorization/rx-requests | yang:counter32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/group-id | uint32
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/member-id | types-nat:bb-group-member
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/source-address | types-sros:ipv4-address
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[member-id=*][group-id=*]/purpose-up | bits
nokia-state | /state/aaa/radius/isa-policy[name=*]/servers/server[index=*]/group-member[group-id=*][member-id=*]/purpose-hold-down | bits
