nokia-conf | /configure/aaa/radius/acct-on-off-group[name=*]/description | types-sros:description
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/buffering/acct-interim/min | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/buffering/acct-interim/max | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/buffering/acct-interim/lifetime | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/buffering/acct-stop/min | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/buffering/acct-stop/max | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/buffering/acct-stop/lifetime | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/health-check/test-account/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/health-check/test-account/interval | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/health-check/test-account/user-name | types-sros:display-string
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/health-check/test-account/password | types-sros:encrypted-leaf
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/health-check/down-timeout | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/server[server-index=*]/server-name | types-sros:named-item
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/timeout | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/retry-count | uint32
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/hold-down-time | types-sros:time-duration
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/router-instance | string
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/source-address | types-sros:ipv4-address
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/ipv6-source-address | types-sros:ipv6-address
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/access-algorithm | types-radius:server-selection-algo
nokia-conf | /configure/aaa/radius/server-policy[name=*]/servers/stickiness | boolean
nokia-conf | /configure/aaa/radius/server-policy[name=*]/description | types-sros:description
nokia-conf | /configure/aaa/radius/server-policy[name=*]/python-policy | leafref
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/retry-interval/min | uint32
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/retry-interval/max | uint32
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/description | types-sros:description
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/admin-state | types-sros:admin-state
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/radius-server-policy | leafref
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/download-interval | uint32
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/default-metric | uint32
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/default-tag | uint32
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/max-routes | uint32
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/base-user-name | types-sros:named-item
nokia-conf | /configure/aaa/radius/route-downloader[name=*]/password | types-sros:encrypted-leaf
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/accounting-type/session | boolean
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/accounting-type/tunnel | boolean
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/include-radius-attribute/nas-port/bit-spec | types-sros:binary-specification
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/include-radius-attribute/nas-port-id/prefix-string | types-sros:string-not-all-spaces
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/include-radius-attribute/nas-port-id/suffix | enumeration
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/include-radius-attribute/nas-port-type/type | union
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/include-radius-attribute/calling-station-id | boolean
nokia-conf | /configure/aaa/radius/l2tp-accounting-policy[name=*]/include-radius-attribute/nas-identifier | boolean
